HostingPackageName,AssemblyName,Type,DiagnosticID
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA0001
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA0002
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1000
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1001
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1002
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1003
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1004
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1005
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1006
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1007
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1008
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1009
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1010
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1011
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1012
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1013
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1014
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1015
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1016
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1017
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1018
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1019
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1020
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1021
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1022
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1023
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1024
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1025
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1026
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1027
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1028
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1100
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1101
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1106
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1107
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1108
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1109
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1102
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1103
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1104
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1105
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1110
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1111
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1112
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1113
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1114
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1115
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1116
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1117
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1118
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1120
StyleCop.Analyzers.1.1.118,StyleCop.Analyzers,DIAGNOSTIC_ANALYZER,SA1121
