NuGetAnalyzerPackage,DiagnosticID,DiagnosticTitle,DiagnosticDescription,DiagnosticDefaultSeverity,DiagnosticCategory
StyleCop.Analyzers.Unstable.1.2.0.333,SA1205,Partial elements should declare access,The partial element does not have an access modifier defined.,Warning,StyleCop.CSharp.OrderingRules
StyleCop.Analyzers.Unstable.1.2.0.333,SA1209,Using alias directives should be placed after other using directives,A using-alias directive is positioned before a regular using directive.,Warning,StyleCop.CSharp.OrderingRules
StyleCop.Analyzers.Unstable.1.2.0.333,SA1615,Element return value should be documented,A C# element is missing documentation for its return value.,Warning,StyleCop.CSharp.DocumentationRules
VSDiagnostics.1.10.0,VSD0007,An ArgumentException should use nameof() to refer to a variable.,,Warning,Exceptions
VSDiagnostics.1.10.0,VSD0001,Asynchronous methods should end with the -Async suffix.,,Warning,Async
Vp.Roslyn.Analyzers.All.1.0.0,VpRoslynDateTimeNowAnalayzer,DateTime used Now,Change all Now property to UtcNow,Warning,Naming
WTG.Analyzers.2.10.4,WTG1007,Do not compare bool to a constant value.,"Either use the original value as-is, or use a logical-not operator ('!')",Info,CodingConvention
WTG.Analyzers.2.10.4,WTG1009,Using directives must be ordered by kind.,"Move all 'using static' statements after 'using' statements, and move 'using X=Y' to the end.",Info,CodingConvention
WhitespaceAnalyzers.1.0.5716.21417,WS002,File does not end with newline,Files must end with a newline.,Warning,Whitespace
ZWA.Infrastructure.CodeAnalysis.1.0.0,FS0037,Remove commented code.,,Info,Style
ZWA.Infrastructure.CodeAnalysis.1.0.0,FS0065,Remove trailing whitespace,Trailing whitespaces are ugly and show sloppiness. Remove them.,Info,Style
ZWA.Infrastructure.CodeAnalysis.1.0.0,FS0052,Make field readonly,A field that is only assigned on the constructor can be made readonly.,Info,Usage
ZWA.Infrastructure.CodeAnalysis.1.0.0,FS0034,Redundant field assignment,It's recommend not to assign the default value to a field as a performance optimization.,Info,Usage
codecracker.CSharp.1.1.0,CC0072,Remove Async termination when method is not asynchronous.,Remove Async termination when method is not asynchronous.,Info,Style
codecracker.CSharp.1.1.0,CC0061,Asynchronous method can be terminated with the 'Async' keyword.,Asynchronous method can be terminated with the 'Async' keyword.,Info,Style
codecracker.CSharp.1.1.0,CC0060,Abstract class should not have public constructors.,,Warning,Usage
codecracker.CSharp.1.1.0,CC0049,Simplify expression,,Info,Usage
mstest-analyzer.0.6.1,MT1001,Public class should have a test attribute,,Warning,Maintainability
